Sample	min:D11:0	max:D11:0	min:D11:1	max:D11:1	min:D11:2	max:D11:2	min:D11:3	max:D11:3	min:D11:4	max:D11:4	min:D11:5	max:D11:5	min:D11:6	max:D11:6	min:D11:7	max:D11:7
1832	0.7191071195757957	1.0112604877476201	0.7191071195757957	24.79635295921358	0.7191071195757957	1.0112604877476201	0.7191071195757957	1.0112604877476201	0.7191071195757957	4.802729448441426	0.7191071195757957	1.0112604877476201	14.115079630827296	43.75683171672728	27.5282127368323	181.61038028583872
1833	0.7915012539158681	1.3231416978678396	0.7915012539158681	23.0755752203207	0.7915012539158681	1.3231416978678396	0.7915012539158681	1.3231416978678396	0.7915012539158681	4.400661421626978	0.7915012539158681	1.3231416978678396	14.293467218799009	37.46317637061992	28.164596037666627	179.64740859476177
1834	0.694873681875805	0.697286630041674	0.694873681875805	23.85652510802919	0.694873681875805	0.697286630041674	0.694873681875805	0.697286630041674	0.694873681875805	0.697286630041674	0.694873681875805	0.697286630041674	14.873467444836706	36.44430041048054	23.85652510802919	175.59556946343005
1835	0.6659072125180785	1.2125301027524245	0.6659072125180785	23.282403530878156	0.6659072125180785	1.2125301027524245	0.6659072125180785	1.2125301027524245	0.6659072125180785	4.2575881223369265	0.6659072125180785	1.2125301027524245	13.432482231959568	41.24121937857822	23.282403530878156	158.49515384967293
1836	0.6913552771640639	1.29446726059723	0.6913552771640639	23.429959195202514	0.6913552771640639	1.29446726059723	0.6913552771640639	1.29446726059723	0.6913552771640639	4.534328353214789	0.6913552771640639	1.29446726059723	14.488103969661694	41.24727393195266	22.614504841861248	23.429959195202514
1837	0.7104625761993475	1.0362377984541524	0.7104625761993475	23.061395397508647	0.7104625761993475	1.0362377984541524	0.7104625761993475	1.0362377984541524	0.7104625761993475	4.167073173969584	0.7104625761993475	1.0362377984541524	14.120201127557436	38.02768909273098	24.982694095563346	178.13397366640115
1838	0.686593682705336	1.1907581857204548	0.686593682705336	20.513798428981488	0.686593682705336	1.1907581857204548	0.686593682705336	1.1907581857204548	0.686593682705336	4.9685042539127835	0.686593682705336	1.1907581857204548	14.141509068133416	41.590248895971456	23.424621747004807	151.60139526421918
1839	0.7138639042630928	1.01523867058242	0.7138639042630928	24.96948975807507	0.7138639042630928	1.01523867058242	0.7138639042630928	1.01523867058242	0.7138639042630928	4.40871662648064	0.7138639042630928	1.01523867058242	13.86492512111576	39.65743907707369	24.96948975807507	168.70761860298737
1840	0.6786435184039021	0.9619047734691435	0.6786435184039021	24.364005371306064	0.6786435184039021	0.9619047734691435	0.6786435184039021	0.9619047734691435	0.6786435184039021	4.133548664053393	0.6786435184039021	0.9619047734691435	14.586188537692095	38.7505247871357	24.364005371306064	161.52247638955612
1841	0.6996434842880035	1.1200889950784472	0.6996434842880035	20.215966259504796	0.6996434842880035	1.1200889950784472	0.6996434842880035	1.1200889950784472	0.6996434842880035	5.189386301377425	0.6996434842880035	1.1200889950784472	15.093185022812904	39.87688389593117	24.243673263245455	136.39945690747658
1842	0.7024547653335276	0.9424854292529972	0.7024547653335276	20.783588863850184	0.7024547653335276	0.9424854292529972	0.7024547653335276	0.9424854292529972	0.7024547653335276	4.956299727475027	0.7024547653335276	0.9424854292529972	14.731750468288993	41.67573869067155	25.428851263398258	158.26494913743545
