iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
6	2.9375686444578264	2	1	HPAI	HPAI	{2, 5}
6	1.6151388594396394	1	10	HPAI	LPAI	{4}
6	8.573107322209125	1	1	LPAI	LPAI	{2, 4, 7}
6	3.2536885569734295	30	23	HPAI	LPAI	{7}
6	2.7700155919051213	5	4	HPAI	LPAI	{6}
6	0.4496403676686782	1	1	HPAI	LPAI	{1}
6	2.6282446271374624	1	2	HPAI	HPAI	{1, 4}
6	1.2717045702038376	35	1	HPAI	LPAI	{4, 6, 7}
6	160.41201212354048	358	6	unknown	LPAI	{6}
6	2.6026338929503936	62	1	HPAI	HPAI	{4, 5, 6, 7}
6	2.9369048607375134	1	1	HPAI	LPAI	{4}
6	3.288540798120721	25	1	HPAI	LPAI	{4, 6}
6	0.5324429734141063	1	1	HPAI	HPAI	{3, 4, 5}
6	1.6720454374370775	1	1	HPAI	LPAI	{4}
6	2.4934596952826382	1	1	HPAI	HPAI	{3, 6}
6	3.102112946896	4	6	HPAI	LPAI	{3}
6	1.6550590417737112	1	3	HPAI	LPAI	{4, 5, 7}
6	0.5666343691895008	1	1	HPAI	LPAI	{7}
6	7.747151399420204	1	2	LPAI	LPAI	{2, 7}
7	176.84746295812562	3	3	LPAI	LPAI	{6}
7	2.6827909078555194	62	2	HPAI	LPAI	{5, 6}
7	123.34870363774351	1	2	LPAI	LPAI	{1, 3}
7	3.3780672239300884	1	53	HPAI	HPAI	{2, 5, 7}
7	32.85843825800964	3	1	LPAI	LPAI	{1, 5}
7	0.8107952797974463	27	8	HPAI	LPAI	{1}
7	12.719883599727495	2	4	LPAI	LPAI	{1}
7	2.2610786298697008	1	1	LPAI	LPAI	{3}
7	2.699880446324414	1	2	HPAI	HPAI	{1, 4}
7	0.5790763708344002	1	2	HPAI	HPAI	{2, 7}
7	150.29476871283129	358	6	unknown	LPAI	{4}
7	3.41679500126628	54	209	HPAI	LPAI	{4, 5, 6}
7	3.2294088777558727	9	140	HPAI	HPAI	{3, 5, 7}
7	4.4837741580001875	5	44	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
7	1.649049370754767	2	1	HPAI	LPAI	{4, 6}
7	243.87056060855872	6	364	LPAI	unknown	{1}
7	2.011726920023534	6	1	HPAI	LPAI	{6, 7}
7	2.7271379234871915	1	3	HPAI	HPAI	{2}
7	289.9705750377609	2	4	LPAI	LPAI	{3, 6}
7	3.266083624712678	30	23	HPAI	LPAI	{7}
7	1.6139675647559102	1	1	HPAI	LPAI	{4}
7	3.023467346701466	1	1	HPAI	LPAI	{4}
7	3.098975637015883	4	2	HPAI	LPAI	{3}
7	3.2256486860529208	25	2	HPAI	LPAI	{4, 6}
7	0.45021136489856417	1	1	HPAI	HPAI	{1}
7	9.00844472682428	2	1	LPAI	LPAI	{6, 7}
7	8.161788834107028	2	1	LPAI	LPAI	{4, 5}
7	1.647901860087245	1	1	HPAI	LPAI	{4}
7	97.04077245793147	3	355	LPAI	LPAI	{4}
7	4.223492516279521	1	1	LPAI	LPAI	{4, 5, 6}
7	2.9351423404906427	1	1	HPAI	HPAI	{3, 5, 6, 7}
7	2.802874303218914	5	4	HPAI	LPAI	{6}
7	1.487736538927038	1	1	HPAI	LPAI	{4, 5, 7}
7	2.8887356837994957	4	1	HPAI	LPAI	{5, 6}
7	1.6618432542563824	1	30	HPAI	LPAI	{6}
7	2.9185594453647923	1	2	HPAI	HPAI	{3}
7	2.371324148470592	1	1	HPAI	HPAI	{3, 6}
7	0.5280827996046469	1	1	HPAI	HPAI	{3, 4, 6}
7	0.5291137076603718	1	8	HPAI	LPAI	{6}
7	2.977276678729595	16	1	HPAI	LPAI	{5, 6, 7}
7	3.27239199045664	25	2	HPAI	LPAI	{4, 6}
7	2.576415554505104	1	2	LPAI	LPAI	{6}
8	2.0053689115185307	6	1	HPAI	LPAI	{6, 7}
8	0.5685016828469998	1	2	HPAI	HPAI	{6, 7}
8	2.6248490576892323	1	2	LPAI	LPAI	{5, 6}
8	3.0903828263594733	4	3	HPAI	LPAI	{3}
8	1.6979957734288291	1	30	HPAI	LPAI	{6}
8	0.5543142964195908	1	3	HPAI	LPAI	{6}
8	13.180783265883804	2	4	LPAI	LPAI	{1}
8	2.701482014077726	62	2	HPAI	HPAI	{4, 5, 6, 7}
8	2.4471946339683655	1	1	HPAI	HPAI	{3, 6}
8	1.3380839259094728	35	1	HPAI	LPAI	{4, 6, 7}
8	2.7670509621286783	1	16	HPAI	HPAI	{1, 2, 4}
8	8.383814497214246	1	1	LPAI	LPAI	{2, 4, 7}
8	2.854368284923055	17	1	HPAI	LPAI	{5, 6, 7}
8	0.82571675190934	27	8	HPAI	LPAI	{1}
8	3.4670746089333306	54	223	HPAI	LPAI	{4, 5, 6}
8	254.68629608400892	364	6	unknown	LPAI	{7}
8	163.98858441949994	3	3	LPAI	LPAI	{1, 4}
8	2.7960744218233344	5	4	HPAI	LPAI	{6}
8	3.3826719448818494	1	53	HPAI	HPAI	{1, 2, 5, 7}
8	4.3698330355135795	1	1	LPAI	LPAI	{4, 5, 6}
8	2.935543155014841	1	2	HPAI	HPAI	{3}
8	2.460881776170993	1	2	HPAI	HPAI	{2}
8	1.7182482125518277	2	1	HPAI	LPAI	{4, 6}
8	3.262091254187169	30	23	HPAI	LPAI	{7}
8	3.2630028118385326	149	31	HPAI	LPAI	{3, 4, 5, 6}
8	3.2386903406363103	1	1	HPAI	HPAI	{1, 4, 5, 6}
8	0.38683046667370036	1	1	HPAI	LPAI	{1}
8	3.188900204808533	9	3	HPAI	HPAI	{3, 5, 7}
8	3.006614863621053	1	1	HPAI	LPAI	{4}
8	3.2889285559883206	3	1	LPAI	LPAI	{3}
8	5.0271996429367505	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
8	2.717341109429981	1	2	HPAI	HPAI	{2}
