Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
19	1.0940766441778464	1.4790738806735533	1.0940766441778464	1.4790738806735533	1.0940766441778464	1.5481297101402163	1.0940766441778464	1.4790738806735533	1.0940766441778464	7.184304349073898	1.0940766441778464	1.5481297101402163	1.0940766441778464	2.9891110104889833	1.0940766441778464	1.5481297101402163
20	1.1004788035878335	1.4830071608799642	1.1004788035878335	1.4830071608799642	1.1004788035878335	1.5342131250494617	1.1004788035878335	1.5342131250494617	1.1004788035878335	6.925678345677312	1.1004788035878335	1.5342131250494617	1.1004788035878335	3.098359134091197	1.1004788035878335	1.5342131250494617
21	1.066512364467286	1.4885590683716146	1.066512364467286	1.4885590683716146	1.066512364467286	1.651630821454603	1.066512364467286	1.4885590683716146	1.066512364467286	6.385661962293852	1.066512364467286	1.4885590683716146	1.066512364467286	2.706268612963015	1.066512364467286	1.4885590683716146
22	1.1386463055959553	1.427830972555114	1.1386463055959553	1.427830972555114	1.1386463055959553	1.7477316774802034	1.1386463055959553	1.7477316774802034	1.1386463055959553	6.859543197505303	1.1386463055959553	1.427830972555114	1.1386463055959553	2.730070794400177	1.1386463055959553	1.427830972555114
23	1.0688812395147806	1.5176278216025025	1.0688812395147806	1.5176278216025025	1.0688812395147806	1.7027768992446113	1.0688812395147806	1.5536954914537375	1.0688812395147806	6.566182951114001	1.0688812395147806	1.5176278216025025	1.0688812395147806	2.7085096889312865	1.0688812395147806	1.5176278216025025
24	1.0501157365576148	1.5495161284375172	1.0501157365576148	1.5495161284375172	1.0501157365576148	1.716022482962444	1.0501157365576148	1.542728248414619	1.0501157365576148	6.791786878562164	1.0501157365576148	1.5495161284375172	1.0501157365576148	3.0245971334991566	1.0501157365576148	1.5495161284375172
25	1.0645449854276023	1.5739771650217165	1.0645449854276023	1.5739771650217165	1.0645449854276023	1.5739771650217165	1.0645449854276023	1.7242778899492066	1.0645449854276023	7.1810694732699005	1.0645449854276023	1.6353319896093979	1.0645449854276023	3.2582931404839144	1.0645449854276023	1.5739771650217165
26	1.0733152609539616	1.4418655859842886	1.0733152609539616	1.4418655859842886	1.0733152609539616	1.6984484533901991	1.0733152609539616	1.6885988999737833	1.0733152609539616	6.573547289425335	1.0733152609539616	1.4418655859842886	1.0733152609539616	3.114597732775877	1.0733152609539616	1.4418655859842886
27	1.049492433937587	1.4804880301557546	1.049492433937587	1.4804880301557546	1.049492433937587	1.6662655963353359	1.049492433937587	1.6186407309269555	1.049492433937587	6.5143182252563605	1.049492433937587	1.4804880301557546	1.049492433937587	3.2536986484756483	1.049492433937587	1.6662655963353359
28	1.0464032440712288	1.5365268195135116	1.0464032440712288	1.5365268195135116	1.0464032440712288	1.4344725402563654	1.0464032440712288	1.623965619711015	1.0464032440712288	7.242953068810863	1.0464032440712288	1.5365268195135116	1.0464032440712288	3.046773895541037	1.0464032440712288	1.5365268195135116
29	1.0724076669116585	1.5434636357078944	1.0724076669116585	1.5434636357078944	1.0724076669116585	1.5434636357078944	1.0724076669116585	1.7116725810210767	1.0724076669116585	7.339870342424774	1.0724076669116585	1.5434636357078944	1.0724076669116585	3.0963995574523153	1.0724076669116585	1.5434636357078944
