#node	date	numeric date
A/American_Crow/PEI/FAV-0019-3/2022|EPI_ISL_17479113|2022-12-28	2022-12-28	2022.990411
NODE_0000208	2022-09-27	2022.737327
NODE_0002742	2022-11-16	2022.875798
A/Canada_goose/NewYork/NYCVH-23-453/2023|EPI_ISL_19075355|2023-02-01	2023-02-01	2023.086301
A/red-shouldered_hawk/New_York/23-012563-001-original/2023|EPI_ISL_17964945|2023-04-13	2023-04-13	2023.280822
NODE_0000211	2022-09-27	2022.737327
A/goose/Louisiana/W22-1146A/2022|EPI_ISL_17373075|2022-12-05	2022-12-05	2022.927397
NODE_0002755	2023-01-06	2023.016000
A/Canada_goose/Pennsylvania/23-006011-002-original/2023|EPI_ISL_17964872|2023-02-15	2023-02-15	2023.124658
A/American_crow/New_York/23-006663-001-original/2023|EPI_ISL_17964880|2023-02-27	2023-02-27	2023.157534
A/mute_swan/Massachusetts/23-011626-001-original/2023|EPI_ISL_17964938|2023-03-29	2023-03-29	2023.239726
A/Canada_goose/Pennsylvania/23-006011-003-original/2023|EPI_ISL_17964873|2023-02-15	2023-02-15	2023.124658
A/American_crow/New_York/23-005128-001-original/2023|EPI_ISL_17964854|2023-02-13	2023-02-13	2023.119178
A/black_vulture/Virginia/23-004611-001-original/2023|EPI_ISL_17964847|2023-02-06	2023-02-06	2023.100000
A/Canada_goose/New_York/23-006363-001-original/2023|EPI_ISL_17964875|2023-02-22	2023-02-22	2023.143836
NODE_0002758	2023-02-24	2023.149315
A/Canada_goose/Ohio/23-007195-001-original/2023|EPI_ISL_17964884|2023-02-24	2023-02-24	2023.149315
A/Canada_goose/Ohio/23-007195-003-original/2023|EPI_ISL_17964885|2023-02-24	2023-02-24	2023.149315
NODE_0002761	2023-02-08	2023.105479
A/American_crow/New_York/23-004806-001-original/2023|EPI_ISL_17964850|2023-02-08	2023-02-08	2023.105479
A/American_crow/New_York/23-005695-001-original/2023|EPI_ISL_17964862|2023-02-20	2023-02-20	2023.138356
NODE_0000203	2023-02-04	2023.094387
A/American_raven/New_York/23-015413-001-original/2023|EPI_ISL_17964972|2023-05-03	2023-05-03	2023.335616
NODE_0000212	2023-02-04	2023.094387
A/American_crow/New_York/23-009037-001-original/2023|EPI_ISL_17964900|2023-03-15	2023-03-15	2023.201370
NODE_0000213	2023-02-04	2023.095824
A/American_crow/New_York/23-009035-001-original/2023|EPI_ISL_17964898|2023-03-17	2023-03-17	2023.206849
NODE_0000216	2023-02-05	2023.096542
A/turkey_vulture/Pennsylvania/23-015040-001-original/2023|EPI_ISL_17964964|2023-04-03	2023-04-03	2023.253425
NODE_0000218	2023-02-05	2023.097260
A/bald_eagle/Virginia/24_006061-001/2023|EPI_ISL_19094581|2023-02-05	2023-02-05	2023.097260
NODE_0000219	2023-02-14	2023.122503
A/American_crow/New_York/23-014010-001-original/2023|EPI_ISL_17964956|2023-04-27	2023-04-27	2023.319178
NODE_0000220	2023-02-14	2023.123221
A/red-tailed_hawk/New_York/23-014343-001-original/2023|EPI_ISL_17964962|2023-05-01	2023-05-01	2023.330137
NODE_0000221	2023-02-15	2023.123940
A/red-tailed_hawk/New_York/23-014131-001-original/2023|EPI_ISL_17964958|2023-05-03	2023-05-03	2023.335616
NODE_0000222	2023-02-15	2023.124658
A/Canada_goose/Pennsylvania/23-006011-001-original/2023|EPI_ISL_17964871|2023-02-15	2023-02-15	2023.124658
NODE_0000223	2023-02-24	2023.148597
NODE_0000224	2023-02-24	2023.149315
A/Canada_goose/Ohio/23-007195-008-original/2023|EPI_ISL_17964887|2023-02-24	2023-02-24	2023.149315
A/red-tailed_hawk/Pennsylvania/23-009487-001-original/2023|EPI_ISL_17964915|2023-02-24	2023-02-24	2023.149315
NODE_0000225	2023-02-24	2023.149315
A/Canada_goose/Ohio/23-007195-005-original/2023|EPI_ISL_17964886|2023-02-24	2023-02-24	2023.149315
NODE_0000226	2023-02-27	2023.157534
